# Northing Easting Elevation
5695178 488142 1
5695178 489142 1
5695178 490142 1
5695178 491142 1
5695178 492142 1
5695178 493142 1
5695178 494142 1
5695178 495142 1
5695178 496142 1
5695178 497142 1
5695178 498142 1
5695178 499142 1
5695178 500142 1
5695178 501142 1
5695178 502142 1
5695178 503142 1
5695178 504142 1
5695178 505142 1
5695178 506142 1
5695178 507142 1
5695178 508142 1
5695178 509142 1
5695178 510142 1
5695178 511142 1
5695178 512142 1
5695178 513142 1
5695178 514142 1
5695178 515142 1
5695178 516142 1
5695178 517142 1
5695178 518142 1
5695178 519142 1
5695178 520142 1
5695178 521142 1
5695178 522142 1
5695178 523142 1
5695178 524142 1
5695178 525142 1
5695178 526142 1
5695178 527142 1
5695178 528142 1
5695178 529142 1
5695178 530142 1
5695178 531142 1
5695178 532142 1
5695178 533142 1
5695178 534142 1
5695178 535142 1
5696178 432142 1
5696178 433142 1
5696178 434142 1
5696178 435142 1
5696178 436142 1
5696178 437142 1
5696178 438142 1
5696178 439142 1
5696178 440142 1
5696178 441142 1
5696178 442142 1
5696178 443142 1
5696178 444142 1
5696178 445142 1
5696178 446142 1
5696178 447142 1
5696178 448142 1
5696178 449142 1
5696178 450142 1
5696178 451142 1
5696178 452142 1
5696178 453142 1
5696178 454142 1
5696178 455142 1
5696178 456142 1
5696178 457142 1
5696178 458142 1
5696178 459142 1
5696178 460142 1
5696178 461142 1
5696178 462142 1
5696178 463142 1
5696178 464142 1
5696178 465142 1
5696178 466142 1
5696178 467142 1
5696178 468142 1
5696178 469142 1
5696178 470142 1
5696178 471142 1
5696178 472142 1
5696178 473142 1
5696178 474142 1
5696178 475142 1
5696178 476142 1
5696178 477142 1
5696178 478142 1
5696178 479142 1
5696178 480142 1
5696178 481142 1
5696178 482142 1
5696178 483142 1
5696178 484142 1
5696178 485142 1
5696178 486142 1
