gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,total_fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,wind_speed,wind_direction,wind_sum_x,wind_sum_y,x_norm,step_norm,col_prob,cum_col_prob,suspended_mass
0,45,15844.4878257643,0.0000000000,0.0000000000,2.2964191041,172.4153222380,1165.6899422290,184.8348680564,14.7449055975,0.5548186223,1082.6034473027,386.6747364235,0.4600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,46,16175.5853871940,0.0000000000,0.0000000000,2.2505218502,174.6658440881,1185.9191180468,192.9585177394,15.0530255153,0.5664125024,1111.1900638218,404.8535019924,0.4700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,47,16506.6829486236,0.0000000000,0.0000000000,2.2055419192,176.8713860073,1206.0623880430,201.2568695661,15.3611454331,0.5780063826,1139.5660846615,423.3638271531,0.4800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,48,16837.7805100533,0.0000000000,0.0000000000,2.1614609771,179.0328469843,1226.1218957077,209.7299235366,15.6692653509,0.5896002627,1167.7163337486,442.1956923716,0.4900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,49,17168.8780714829,0.0000000000,0.0000000000,2.1182610563,181.1511080407,1246.0996884693,218.3776796507,15.9773852688,0.6011941429,1195.6263777354,461.3389486076,0.5000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,50,17499.9756329126,0.0000000000,0.0000000000,2.0759245484,183.2270325890,1265.9977238316,227.2001379086,16.2855051866,0.6127880230,1223.2825078648,480.7833352062,0.5100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,51,17831.0731943422,0.0000000000,0.0000000000,2.0344341967,185.2614667858,1285.8178750063,236.1972983102,16.5936251044,0.6243819032,1250.6717220121,500.5184970335,0.5200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,52,18162.1707557719,0.0000000000,0.0000000000,1.9937730897,187.2552398755,1305.5619360918,245.3691608556,16.9017450222,0.6359757833,1277.7817069101,520.5340008774,0.5300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,53,18493.2683172016,0.0000000000,0.0000000000,1.9539246537,189.2091645292,1325.2316268418,254.7157255446,17.2098649401,0.6475696635,1304.6008205657,540.8193511353,0.5400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,54,18824.3658786312,0.0000000000,0.0000000000,1.9148726462,191.1240371755,1344.8285970636,264.2369923774,17.5179848579,0.6591635436,1331.1180748718,561.3640048070,0.5500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,55,19155.4634400609,0.0000000000,0.0000000000,1.8766011496,193.0006383250,1364.3544306815,273.9329613539,17.8261047757,0.6707574238,1357.3231184212,582.1573858154,0.5600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,56,19486.5610014905,0.0000000000,0.0000000000,1.8390945641,194.8397328891,1383.8106494954,283.8036324741,18.1342246935,0.6823513039,1383.2062195275,603.1888986722,0.5700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,57,19817.6585629202,0.0000000000,0.0000000000,1.8023376019,196.6420704909,1403.1987166632,293.8490057380,18.4423446114,0.6939451841,1408.7582494577,624.4479415097,0.5800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,58,20148.7561243499,0.0000000000,0.0000000000,1.7663152806,198.4083857716,1422.5200399311,304.0690811457,18.7504645292,0.7055390642,1433.9706658807,645.9239184960,0.5900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,59,20479.8536857795,0.0000000000,0.0000000000,1.7310129176,200.1393986892,1441.7759746345,314.4638586971,19.0585844470,0.7171329444,1458.8354965358,667.6062516531,0.6000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,60,20810.9512472092,0.0000000000,0.0000000000,1.6964161233,201.8358148124,1460.9678264893,325.0333383921,19.3667043648,0.7287268245,1483.3453231247,689.4843920950,0.6100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,61,21142.0488086388,0.0000000000,0.0000000000,1.6625107958,203.4983256083,1480.0968541909,335.7775202310,19.6748242827,0.7403207047,1507.4932654304,711.5478307047,0.6200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,62,21473.1463700685,0.0000000000,0.0000000000,1.6292831154,205.1276087237,1499.1642718373,346.6964042135,19.9829442005,0.7519145848,1531.2729656660,733.7861082656,0.6300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,63,21804.2439314981,0.0000000000,0.0000000000,1.5967195382,206.7243282618,1518.1712511918,357.7899903398,20.2910641183,0.7635084650,1554.6785730559,756.1888250662,0.6400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,64,22135.3414929278,0.0000000000,0.0000000000,1.5648067911,208.2891350529,1537.1189237962,369.0582786097,20.5991840361,0.7751023451,1577.7047286516,778.7456499932,0.6500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,65,22466.4390543575,0.0000000000,0.0000000000,1.5335318663,209.8226669192,1556.0083829485,380.5012690234,20.9073039539,0.7866962252,1600.3465503844,801.4463291297,0.6600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
